code,name,image,sector,created_at,updated_at
TUX,TUXEDO PARK,media/community_images/TUX.png,CENTRE,2012-09-04 06:00:00.000000-08:198,2012-09-04 06:00:00.000000-08:198
UMR,UPPER MOUNT ROYAL,media/community_images/UMR.png,CENTRE,2012-09-04 06:00:00.000000-08:199,2012-09-04 06:00:00.000000-08:199
UND,UNIVERSITY DISTRICT,media/community_images/UND.png,NORTHWEST,2012-09-04 06:00:00.000000-08:200,2012-09-04 06:00:00.000000-08:200
UNI,UNIVERSITY HEIGHTS,media/community_images/UNI.png,NORTHWEST,2012-09-04 06:00:00.000000-08:201,2012-09-04 06:00:00.000000-08:201
UOC,UNIVERSITY OF CALGARY,media/community_images/UOC.png,NORTHWEST,2012-09-04 06:00:00.000000-08:202,2012-09-04 06:00:00.000000-08:202
VAL,VALLEY RIDGE,media/community_images/VAL.png,WEST,2012-09-04 06:00:00.000000-08:203,2012-09-04 06:00:00.000000-08:203
VAR,VARSITY,media/community_images/VAR.png,NORTHWEST,2012-09-04 06:00:00.000000-08:204,2012-09-04 06:00:00.000000-08:204
VIS,VISTA HEIGHTS,media/community_images/VIS.png,NORTHEAST,2012-09-04 06:00:00.000000-08:205,2012-09-04 06:00:00.000000-08:205
WAL,WALDEN,media/community_images/WAL.png,SOUTH,2012-09-04 06:00:00.000000-08:206,2012-09-04 06:00:00.000000-08:206
WBN,WOODBINE,media/community_images/WBN.png,SOUTH,2012-09-04 06:00:00.000000-08:207,2012-09-04 06:00:00.000000-08:207
WGT,WESTGATE,media/community_images/WGT.png,WEST,2012-09-04 06:00:00.000000-08:208,2012-09-04 06:00:00.000000-08:208
WHI,WHITEHORN,media/community_images/WHI.png,NORTHEAST,2012-09-04 06:00:00.000000-08:209,2012-09-04 06:00:00.000000-08:209
WHL,WEST HILLHURST,media/community_images/WHL.png,CENTRE,2012-09-04 06:00:00.000000-08:210,2012-09-04 06:00:00.000000-08:210
WIL,WILLOW PARK,media/community_images/WIL.png,SOUTH,2012-09-04 06:00:00.000000-08:211,2012-09-04 06:00:00.000000-08:211
WIN,WINSTON HEIGHTS/MOUNTVIEW,,CENTRE,2012-09-04 06:00:00.000000-08:212,2012-09-04 06:00:00.000000-08:212
WLD,WILDWOOD,media/community_images/WLD.png,WEST,2012-09-04 06:00:00.000000-08:213,2012-09-04 06:00:00.000000-08:213
WND,WINDSOR PARK,media/community_images/WND.png,CENTRE,2012-09-04 06:00:00.000000-08:214,2012-09-04 06:00:00.000000-08:214
WOO,WOODLANDS,media/community_images/WOO.png,SOUTH,2012-09-04 06:00:00.000000-08:215,2012-09-04 06:00:00.000000-08:215
WSP,WEST SPRINGS,media/community_images/WSP.png,WEST,2012-09-04 06:00:00.000000-08:216,2012-09-04 06:00:00.000000-08:216
WWO,WOLF WILLOW,media/community_images/WWO.png,SOUTH,2012-09-04 06:00:00.000000-08:217,2012-09-04 06:00:00.000000-08:217
YKV,YORKVILLE,media/community_images/YKV.png,SOUTH,2012-09-04 06:00:00.000000-08:218,2012-09-04 06:00:00.000000-08:218
